public_private,ins_name,website,host_name,dist,addr,phone0,phone1,orient0,orient1,orient2,orient3,init_date,total_bed_num,long_caring,nursing,dementia,caring,total_toll,latitude,longitude
公立,衛生福利部北區老人之家,https://www.gov.tw/News3_Content.aspx?n=2&s=385622,陳立庚,新店區 ,新北市新店區屈尺路 81 號、83號,02-2666-8695,02-2666-6497,安養,養護,長照,NULL,35.03,602,24,102,18,458,148,24.9218409,121.5450923
私立,財團法人台灣省私立健順養護中心,https://jianshun.org.tw/,黃禎祥,深坑區,新北市深坑區昇高里王軍寮 9 號 ,02-2662-2499,NULL,失智,養護,長照,NULL,82.11,134,40,76,18,0,91,23.69781,120.960515
私立,財團法人臺灣省私立臺北仁濟院附設仁濟安老所,https://www.tjci-ts.org.tw/,林明成,淡水區,新北市淡水區中正東路 2 段 153 號 ,02-2809-5600,NULL,安養,NULL,NULL,NULL,66.05,122,0,0,0,122,96,25.1458566,121.460038
私立,財團法人新北市私立台灣天主教安老院,http://www.lsp.org.tw/,顧志珍,八里區,新北市八里區中山路1段33號,02-26102034,NULL,養護,安養,NULL,NULL,61.05.06,78,0,25,0,53,55,25.1590251,121.4205613
私立,新北市私立仁惠老人長期照顧中心(養護型),https://www.airltc.com/org/info/1907,楊玫芳,三芝區,新北市三芝區四棧橋53之11號,02-26365222,NULL,養護,NULL,NULL,NULL,106.08.24,49,0,49,0,0,25,25.2651305,121.4832414
私立,新北市私立長勤老人長期照顧中心(養護型),http://www.26366887.tw/,高唯斯,三芝區,新北市三芝區長勤街63號、63 號2樓、63號3樓、63號4樓,02-26366887,NULL,養護,NULL,NULL,NULL,100.09.27,49,0,49,0,0,42,25.256045,121.5000891
私立,財團法人臺灣基督長老教會雙連教會附設新北市私立雙連安養中心,https://www.slehtaiwan.com/,蔡政道,三芝區,新北市三芝區後厝里北勢子22-17號,02-26365999,NULL,失智,養護,安養,NULL,84.07.15,432,0,154,66,212,379,25.2539049,121.4752722
私立,新北市私立鴻澄老人長期照顧中心(養護型),http://www.homechen1688.url.tw/,王衣緹,三重區,新北市三重區三和路2段30號3樓、3樓之1、3樓之2、3樓之3、3樓之4,02-29791130,NULL,養護,NULL,NULL,NULL,104.03.18,35,0,35,0,0,28,25.0676565,121.5000813
私立,新北市私立大德老人長期照顧中心(養護型),https://www.facebook.com/people/%E6%96%B0%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%A4%A7%E5%BE%B7%E8%80%81%E4%BA%BA%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83%E9%A4%8A%E8%AD%B7%E5%9E%8B/100063887505149/,許浩崇,三重區,新北市三重區三和路4段103-1號4樓,02-22870889,NULL,養護,NULL,NULL,NULL,106.05.04,39,0,39,0,0,37,25.0768498,121.4869018
私立,新北市私立心侑老人長期照顧中心(養護型),https://nursing-agency-257.business.site/,廖培鈞,三重區,新北市三重區三和路4段95之1號2樓、3樓,02-22819099,NULL,養護,NULL,NULL,NULL,106.07.20,29,0,29,0,0,25,25.0761428,121.4881277
私立,新北市私立幸福老人長期照顧中心(養護型),https://www.royalnursinghome.com.tw/medical-unit/%E6%96%B0%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%B9%B8%E7%A6%8F%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83%E9%A4%8A%E8%AD%B7%E5%9E%8B/,黃明全,三重區,新北市三重區中興北街54號5樓,02-85122666,NULL,養護,NULL,NULL,NULL,106.07.20,46,0,46,0,0,31,25.1094789,121.8031995
私立,新北市私立豐禾老人長期照顧中心(養護型),http://agency10.twinner.com.tw/customer/baihao/product_classify/chufon/index.php?Product_Site_Classify_SN=1000030283&PHPSESSID=&Company_SN=1000011493&Product_Site_Classify_SN1=1000011294&TFC2=&MFC2=8,陳靜琴,三重區,新北市三重區成功路79號1樓-5樓,02-89720166,NULL,養護,NULL,NULL,NULL,92.01.03,45,0,45,0,0,36,25.0513875,121.4887405
私立,新北市私立靜園老人長期照顧中心(養護型),http://agency10.twinner.com.tw/customer/baihao/product_classify/landersound-tail/index.php?Product_Site_Classify_SN=1000030264&PHPSESSID=&Company_SN=1000011493,陳冠榮,三重區,新北市三重區成功路97號10樓,02-89731580,NULL,養護,NULL,NULL,NULL,105.01.06,49,0,49,0,0,45,25.0516721,121.4881184
私立,新北市私立今光愛心老人養護中心,https://tw101.org/xinbei/?p=193,廖朝生,三重區,新北市三重區成功路97號2樓,02-29768888,NULL,養護,NULL,NULL,NULL,89.10.20,48,0,48,0,0,45,25.051672,121.4881185
